date,home_team,away_team,lambda_home,lambda_away,top_score,exp_home_goals,exp_away_goals,xgb_pred_result,xgb_pred_goals,xgb_pred_corners,xgb_pred_yellows,xgb_1X2_H,poi_1X2_H,avg_1X2_H,diff_1X2_H,conf_1X2_H,xgb_1X2_D,poi_1X2_D,avg_1X2_D,diff_1X2_D,conf_1X2_D,xgb_1X2_A,poi_1X2_A,avg_1X2_A,diff_1X2_A,conf_1X2_A,xgb_over25,poi_over25,avg_over25,diff_over25,conf_over25,xgb_btts,poi_btts,avg_btts,diff_btts,conf_btts,confidence
2026-06-25,Japan,Sweden,1.948,0.804,1-0,1.946,0.804,H,2.7899999618530273,8.550000190734863,,1.37,1.56,1.47,13.0,MEDIA,5.43,4.75,5.09,13.4,MEDIA,11.33,6.8,9.06,50.0,BAJA,1.87,1.93,1.9,3.2,ALTA,2.55,2.11,2.33,18.9,MEDIA,BAJA
2026-06-25,Ecuador,Germany,1.573,1.218,1-1,1.573,1.218,H,2.6500000953674316,9.760000228881836,,2.28,2.19,2.23,4.0,ALTA,3.2,4.02,3.61,22.7,MEDIA,4.0,3.38,3.69,16.8,MEDIA,2.25,1.89,2.07,17.4,MEDIA,2.22,1.79,2.0,21.4,MEDIA,MEDIA
2026-06-26,Norway,France,1.008,1.721,1-1,1.008,1.721,A,2.740000009536743,7.199999809265137,,3.74,4.53,4.13,19.1,MEDIA,3.44,4.2,3.82,19.9,MEDIA,2.27,1.85,2.06,20.4,MEDIA,2.25,1.95,2.1,14.3,MEDIA,2.15,1.92,2.04,11.3,MEDIA,MEDIA
2026-06-26,Cape Verde,Saudi Arabia,1.132,0.961,1-0,1.131,0.961,H,2.440000057220459,7.150000095367432,,2.53,2.54,2.54,0.4,ALTA,4.02,3.35,3.68,18.2,MEDIA,2.81,3.26,3.04,14.8,MEDIA,2.16,2.87,2.52,28.2,BAJA,2.04,2.39,2.21,15.8,MEDIA,BAJA
2026-06-26,Egypt,Iran,1.025,1.321,1-1,1.025,1.321,A,2.299999952316284,6.78000020980835,,4.07,3.45,3.76,16.5,MEDIA,3.21,3.62,3.42,12.0,MEDIA,2.26,2.3,2.28,1.8,ALTA,2.41,2.4,2.41,0.4,ALTA,2.03,2.13,2.08,4.8,ALTA,MEDIA
2026-06-26,Senegal,Iraq,1.965,0.763,1-0,1.963,0.763,H,2.549999952316284,8.050000190734863,,1.62,1.52,1.57,6.4,ALTA,4.16,4.84,4.5,15.1,MEDIA,6.96,7.32,7.14,5.0,ALTA,2.29,1.95,2.12,16.0,MEDIA,2.18,2.18,2.18,0.0,ALTA,MEDIA
2026-06-26,New Zealand,Belgium,0.932,1.867,0-1,0.931,1.865,A,2.5399999618530273,7.96999979019165,,9.5,5.44,7.47,54.4,BAJA,2.75,4.49,3.62,48.1,BAJA,1.88,1.69,1.78,10.6,MEDIA,2.47,1.89,2.18,26.6,BAJA,3.08,1.95,2.52,44.9,BAJA,BAJA
2026-06-26,Uruguay,Spain,0.859,1.997,0-1,0.858,1.995,A,2.549999952316284,8.619999885559082,,9.4,6.53,7.96,36.0,BAJA,3.49,4.82,4.16,32.0,BAJA,1.65,1.56,1.6,5.6,ALTA,2.46,1.84,2.15,28.8,BAJA,2.41,2.01,2.21,18.1,MEDIA,BAJA
2026-06-27,Colombia,Portugal,1.274,1.358,1-1,1.274,1.358,H,2.75,8.869999885559082,,2.63,2.86,2.75,8.4,ALTA,3.05,3.82,3.43,22.4,MEDIA,3.42,2.57,3.0,28.4,BAJA,1.98,2.04,2.01,3.0,ALTA,2.0,1.87,1.94,6.7,ALTA,BAJA
2026-06-27,Jordan,Argentina,0.631,1.843,0-1,0.631,1.842,A,2.630000114440918,9.31999969482422,,9.32,8.31,8.82,11.5,MEDIA,5.08,4.66,4.87,8.6,ALTA,1.44,1.5,1.47,4.1,ALTA,1.93,2.23,2.08,14.4,MEDIA,2.46,2.54,2.5,3.2,ALTA,MEDIA
2026-06-27,Panama,England,0.838,1.935,0-1,0.838,1.933,A,2.430000066757202,7.570000171661377,,12.41,6.43,9.42,63.5,BAJA,5.52,4.69,5.11,16.3,MEDIA,1.35,1.58,1.47,15.7,MEDIA,2.13,1.91,2.02,10.9,MEDIA,2.18,2.06,2.12,5.7,ALTA,BAJA
2026-06-27,Croatia,Ghana,2.131,0.698,2-0,2.128,0.698,H,3.259999990463257,9.960000038146973,,1.23,1.42,1.32,14.3,MEDIA,8.06,5.39,6.72,39.7,BAJA,15.72,9.17,12.45,52.6,BAJA,1.64,1.86,1.75,12.6,MEDIA,2.26,2.26,2.26,0.0,ALTA,BAJA
2026-06-27,DR Congo,Uzbekistan,1.082,1.235,1-1,1.082,1.235,D,2.190000057220459,8.350000381469727,,3.83,3.11,3.47,20.7,MEDIA,2.62,3.55,3.08,30.1,BAJA,2.79,2.52,2.66,10.2,MEDIA,3.16,2.45,2.81,25.3,BAJA,2.25,2.13,2.19,5.5,ALTA,BAJA
2026-06-27,Algeria,Austria,1.378,1.229,1-1,1.378,1.229,H,2.569999933242798,7.670000076293945,,2.6,2.48,2.54,4.7,ALTA,3.28,3.81,3.54,15.0,MEDIA,3.22,3.0,3.11,7.1,ALTA,1.96,2.07,2.01,5.5,ALTA,1.89,1.89,1.89,0.0,ALTA,MEDIA
