model_variant,home_team,away_team,mercado,seleccion,cuota,prob_modelo,ev_pct,win,profit,resultado_real
ensemble_calibrated,Netherlands,Ecuador,1X2-D,Draw,3.55,0.2871,1.93,True,2.55,1-1
xgb_clean,England,United States,1X2-H,England,1.5,0.5025,-24.62,False,-1.0,0-0
poisson_dixon_coles,England,United States,1X2-H,England,1.5,0.5277,-20.85,False,-1.0,0-0
ensemble_raw,England,United States,1X2-H,England,1.5,0.5207,-21.89,False,-1.0,0-0
ensemble_calibrated,England,United States,1X2-H,England,1.5,0.5182,-22.27,False,-1.0,0-0
xgb_clean,England,United States,1X2-A,USA,7.75,0.236,82.88,False,-1.0,0-0
poisson_dixon_coles,England,United States,1X2-A,USA,7.75,0.2235,73.21,False,-1.0,0-0
ensemble_raw,England,United States,1X2-A,USA,7.75,0.227,75.89,False,-1.0,0-0
ensemble_calibrated,England,United States,1X2-A,USA,7.75,0.208,61.19,False,-1.0,0-0
xgb_clean,England,United States,1X2-D,Draw,4.4,0.2615,15.06,True,3.4,0-0
poisson_dixon_coles,England,United States,1X2-D,Draw,4.4,0.2488,9.47,True,3.4,0-0
ensemble_raw,England,United States,1X2-D,Draw,4.4,0.2523,11.02,True,3.4,0-0
ensemble_calibrated,England,United States,1X2-D,Draw,4.4,0.2738,20.47,True,3.4,0-0
xgb_clean,England,United States,Over2.5,Over,2.04,0.5234,6.77,False,-1.0,0-0
poisson_dixon_coles,England,United States,Over2.5,Over,2.04,0.5357,9.28,False,-1.0,0-0
ensemble_raw,England,United States,Over2.5,Over,2.04,0.5323,8.59,False,-1.0,0-0
ensemble_calibrated,England,United States,Over2.5,Over,2.04,0.5323,8.59,False,-1.0,0-0
xgb_clean,England,United States,Under2.5,Under,1.87,0.4766,-10.88,True,0.87,0-0
poisson_dixon_coles,England,United States,Under2.5,Under,1.87,0.4643,-13.18,True,0.87,0-0
ensemble_raw,England,United States,Under2.5,Under,1.87,0.4677,-12.54,True,0.87,0-0
ensemble_calibrated,England,United States,Under2.5,Under,1.87,0.4677,-12.54,True,0.87,0-0
xgb_clean,Qatar,Senegal,1X2-H,Qatar,5.73,0.3319,90.16,False,-1.0,1-3
poisson_dixon_coles,Qatar,Senegal,1X2-H,Qatar,5.73,0.347,98.83,False,-1.0,1-3
ensemble_raw,Qatar,Senegal,1X2-H,Qatar,5.73,0.3428,96.43,False,-1.0,1-3
ensemble_calibrated,Qatar,Senegal,1X2-H,Qatar,5.73,0.3414,95.64,False,-1.0,1-3
xgb_clean,Qatar,Senegal,1X2-A,Senegal,1.75,0.3966,-30.59,True,0.75,1-3
poisson_dixon_coles,Qatar,Senegal,1X2-A,Senegal,1.75,0.3487,-38.98,True,0.75,1-3
ensemble_raw,Qatar,Senegal,1X2-A,Senegal,1.75,0.362,-36.65,True,0.75,1-3
ensemble_calibrated,Qatar,Senegal,1X2-A,Senegal,1.75,0.3326,-41.79,True,0.75,1-3
xgb_clean,Qatar,Senegal,1X2-D,Draw,3.63,0.2715,-1.44,False,-1.0,1-3
poisson_dixon_coles,Qatar,Senegal,1X2-D,Draw,3.63,0.3043,10.46,False,-1.0,1-3
ensemble_raw,Qatar,Senegal,1X2-D,Draw,3.63,0.2952,7.16,False,-1.0,1-3
ensemble_calibrated,Qatar,Senegal,1X2-D,Draw,3.63,0.3259,18.31,False,-1.0,1-3
xgb_clean,Poland,Saudi Arabia,1X2-H,Poland,1.8,0.3936,-29.16,True,0.8,2-0
poisson_dixon_coles,Poland,Saudi Arabia,1X2-H,Poland,1.8,0.4059,-26.94,True,0.8,2-0
ensemble_raw,Poland,Saudi Arabia,1X2-H,Poland,1.8,0.4025,-27.55,True,0.8,2-0
ensemble_calibrated,Poland,Saudi Arabia,1X2-H,Poland,1.8,0.3772,-32.11,True,0.8,2-0
xgb_clean,Poland,Saudi Arabia,1X2-A,Saudi Arabia,5.35,0.3142,68.11,False,-1.0,2-0
poisson_dixon_coles,Poland,Saudi Arabia,1X2-A,Saudi Arabia,5.35,0.2946,57.61,False,-1.0,2-0
ensemble_raw,Poland,Saudi Arabia,1X2-A,Saudi Arabia,5.35,0.3,60.52,False,-1.0,2-0
